Molecule ChEMBL ID,Smiles,Binary,Xch-7d,AXp-6d,n6aRing,AXp-3d,NaasC,ATSC1p,SpDiam_A,EState_VSA2,GATS4d,Xch-6dv,BCUTs-1h,AXp-4d,AXp-0d,BCUTd-1l,AMID_N,ETA_dEpsilon_D,BCUTdv-1h,nHBAcc,NsOH,JGI7,nAromAtom,BalabanJ,AXp-5d,Xch-6d,AATS5p,PEOE_VSA2,BCUTd-1h,SMR_VSA7,NaaCH,MDEC-33,AATS0d,TSRW10,EState_VSA1,pIC50
K110,[N+](=O)(c1cc(C(=O)C[C@@H](C(=O)O)N)ccc1)[O-],0,0.096225045,0.055039365,1,0.207096804,2,1.195367198,4.630969128,11.25083777,0.879125781,0.027777778,8.001937531,0.127413878,0.764684442,0.971519933,0.220450686,0.100882353,7.004118204,5,1,0.021875,6,2.429251703,0.084796409,0.083333333,1.149660704,19.70339264,3.149852835,39.94323803,4,3.87917614,3.333333333,48.99955797,29.13852374,6.046
K067,c1c(c(cc(c1)C(=O)[C@H]1C[C@@H]1C(=O)O)Cl)Cl,1,0.833055074,0.048168377,1,0.185646713,3,0.683556479,4.79634707,5.783244946,0.911711712,0.241598097,7.009368408,0.113705751,0.741867438,0.97271067,0,0.037027311,6.023210558,2,1,0.024199263,6,1.845954161,0.073202797,0.674865858,1.462215203,9.589074368,3.199904912,33.80781932,3,8.073660072,3.833333333,68.3769555,17.80511738,7.699
K082,O=S(=O)(Nc1ccc(c2c(cc(cc2)F)N2CCCCC2)nn1)CC(F)(F)F,0,0.312572455,0.047264243,2,0.176393214,5,-1.186381488,4.850683277,5.817862778,0.915446345,0.119779869,8.007932377,0.119532703,0.727271305,0.971415764,0.298599453,0.023469388,7.014425005,5,0,0.013454861,12,1.536518199,0.074205847,0.253436788,1.359251485,4.722094864,4.040567266,36.14905618,5,3.711512668,3.608695652,63.42836754,27.76966412,7.409
K002,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)F)F,1,0.271591518,0.051757586,2,0.193662669,5,0.133654343,4.730508754,16.95130748,0.929115854,0.040722928,8.003002089,0.119938597,0.730226417,0.972895564,0.239196453,0.037130408,7.005342107,3,1,0.022743056,12,1.889323518,0.07843985,0.151374715,1.313403349,0,3.181172486,47.92115803,5,5.269331926,4,49.63121178,17.60374697,9.699
K053,n1c(cc(nc1C)C(=O)O)c1ccc(c(c1)Cl)Cl,1,0.321975275,0.049443538,2,0.189816653,6,0.252064192,4.771053918,5.693927995,1.257253385,0.038490018,7.008292053,0.116444127,0.738005143,0.972840988,0.224776519,0.031885269,6.022039935,3,1,0.023871528,12,1.950619485,0.07734596,0.136082763,1.576846403,0,3.181777621,45.82906739,4,7.132553578,3.846153846,51.01626929,5.969305288,7.921
K118,c1c(cc2c(c1)cnn2C[C@@H](C(=O)O)N)Cl,0,0.426455124,0.050284022,1,0.187888096,1,0.733679077,4.724082287,6.544756406,0.900277008,0.077802009,7.008291412,0.11102515,0.731671394,0.972814606,0.376686222,0.096898496,6.022014552,4,1,0.01953125,9,1.907336235,0.075435274,0.272165527,1.3200191,9.476340119,3.241385346,29.41857809,4,3.439154016,3.538461538,62.30148583,12.01114612,5.6
K022,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC(F)(F)F,1,0.251662659,0.04858657,2,0.184080173,5,-0.253013604,4.772075391,16.4104893,1.107368207,0.040722928,8.007389129,0.118198419,0.743855041,0.97273061,0.193761057,0.033611626,7.014130161,4,1,0.02349537,12,1.868225539,0.079142347,0.151374715,1.344944397,0,4.017065735,41.30934966,5,5.269331926,4.222222222,54.78773185,18.08117598,8.678
K095,c1c(cc2c(c1)cnn2CC(=O)O)Cl,0,0.426455124,0.051899091,1,0.176853507,1,0.243010485,4.710970764,6.544756406,1.076923077,0.077802009,7.008290907,0.113249199,0.723528002,0.972904575,0.304828797,0.041043084,6.022003241,3,1,0.013888889,9,1.937587943,0.077285076,0.272165527,1.336017614,9.476340119,3.2412553,29.41857809,4,2.249576847,3.761904762,59.64313738,5.969305288,7
K044,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC(C)C,1,0.251662659,0.04944276,2,0.186470829,5,-0.304418495,4.754533248,11.79789438,1.147727273,0.040722928,7.008292625,0.120576141,0.734915307,0.972799891,0.20344792,0.028061224,6.02214904,4,1,0.020709325,12,1.852835906,0.07996761,0.151374715,1.527354815,0,3.182864659,41.30934966,5,6.336587839,3.424242424,53.3116297,5.969305288,8.222
K079,O=S(=O)(Nc1sc(c2cccc(c2)[N+](=O)[O-])cn1)c1ccc(cc1)C,0,0.407229279,0.050062309,2,0.185049888,6,-0.072151233,4.775286113,15.71442823,0.808634945,0.134612497,8.001938551,0.118302866,0.72106933,0.970649132,0.243319294,0.022769231,7.004120577,6,0,0.019553202,17,1.487816419,0.075629635,0.318041382,1.494087081,14.83641313,4.043818431,70.40554988,9,3.616743807,3.815789474,73.38851562,14.9466022,7.432
K075,n1c(c(c(nc1)C(=O)O)COC)c1ccc(c(c1)Cl)Cl,0,0.302046416,0.050723353,2,0.181509259,6,-0.17130121,4.849722382,12.30080996,1.208840185,0.038490018,7.008292588,0.11432223,0.734915307,0.972829398,0.204608092,0.029693878,6.022121682,4,1,0.022222222,12,2.067575159,0.075543262,0.136082763,1.49949222,0,3.253481914,45.82906739,4,8.073660072,3.666666667,53.51286495,5.969305288,7.481
K020,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC1COC1,1,0.358700747,0.049400923,2,0.185686652,5,-0.452744227,4.774583152,11.79789438,1.141144997,0.064779189,7.008292919,0.117697977,0.705696499,0.972946352,0.193789912,0.028035457,6.022247151,5,1,0.018287037,12,1.486592552,0.076375811,0.234708048,1.547987273,0,3.182913749,41.30934966,5,6.336587839,3.78125,55.11109441,5.969305288,8.699
K030,c1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)Cl,1,0.271591518,0.051757586,2,0.193662669,5,0.492813421,4.730508754,5.693927995,0.944821584,0.045572835,7.008291778,0.119938597,0.730226417,0.972895564,0.119051563,0.033022098,6.022038105,2,1,0.022743056,12,1.889323518,0.07843985,0.151374715,1.538165707,0,3.181172486,52.26787354,6,5.269331926,3.875,49.63121178,5.969305288,8.495
K070,C(=O)(CCn1c(=O)oc2c1cc(c(c2)OCc1ccccc1)Cl)O,1,0.626318311,0.048500369,2,0.181801447,3,-0.47531328,4.838817938,12.96557803,0.951884921,0.104715043,7.009381234,0.11387041,0.712670147,0.972679171,0.093116578,0.024198413,6.039214447,5,1,0.012870637,15,1.498840367,0.073966719,0.402851715,1.392172426,9.361636832,3.272966179,63.60125429,7,6.089612551,3.631578947,72.67193155,11.72536811,7.602
K137,c1(c(cc2c(c1)oc(=O)n2CCC(=O)O)Cl)C#N,0,0.554149527,0.047458545,1,0.177622667,2,-0.210967552,4.825498635,29.13468298,0.948717949,0.072640028,7.009380427,0.110289088,0.738005143,0.911327847,0.220442594,0.034363687,6.039099808,5,1,0.016975309,9,1.974576926,0.070000196,0.300789642,1.373673027,9.361636832,3.272887296,33.26941895,2,5.209985032,3.96,65.31791042,11.72536811,4.1
K081,n1c(cc(nc1)C(=O)O)c1ccc(cc1F)Cl,0,0.271591518,0.05206611,2,0.187144893,5,0.212087632,4.75523282,21.9739408,0.946646341,0.040722928,8.001917923,0.122376074,0.730226417,0.972892286,0.239146834,0.035729847,7.004059167,3,1,0.013715278,12,1.923479256,0.0770318,0.151374715,1.38298764,0,3.207991643,47.1265705,5,5.562043628,4,49.6505019,11.78652613,7.42
K048,C(=O)(CCn1c(=O)oc2c1cc(c(c2)Cl)Cl)O,1,0.570421373,0.048957335,1,0.179639945,2,-0.15771822,4.808069656,28.5938648,0.960556845,0.072640028,7.009377788,0.107739382,0.739822694,0.972645729,0.131110462,0.038032991,6.03909475,4,1,0.021825397,9,1.973300056,0.070465053,0.300789642,1.425699196,9.361636832,3.272823574,32.72860077,2,5.209985032,3.958333333,64.09970305,11.72536811,8.201
